SEMANA,DÍA EN NÚMERO DE LA SEMANA,DÍA DE LA SEMANA,MES,NOMBRE MEDIO,TIER,CORRESPONSAL 1,CORRESPONSAL 2,ENCABEZADO,TEMA,TEMA 2,PALABRA CLAVE,COYUNTURA,ACTOR OFICIAL 1,ACTOR OFICIAL 2,ACTOR OFICIAL 3,ACTOR NO OFICIAL 1,ACTOR NO OFICIAL 2,ACTOR NO OFICIAL 3,ESTADO DE LA REPÚBLICA,ESTADO DE LA REPÚBLICA  2,TENDENCIA,IMPRESA,PRIMERA PLANA,AÑO
1,6,Miércoles,Enero,Newsweek,3,ND,ND,MEXICO’S DRUG WAR HAS DECREASED LIFE EXPECTANCY FOR MEN,Seguridad,Social/Turismo,Salud,Coyuntura,ND,ND,ND,Health Affairs,ND,ND,Varios,ND,Negativa,NO,NO,2016
1,6,Miércoles,Enero,Univision,4,ND,ND,"""La Barbie"" se declara culpable en Atlanta",Seguridad,ND,Cooperación,Coyuntura,Corte Georgia,ND,ND,Édgar Valdez,Arturo Beltrán Leyva,William Park,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,Bloomberg,Agencia,ND,ND,"Latin America to Stagnate on Venezuela, Brazil, World Bank Says",Económico,ND,Situación económica,Coyuntura,BM,México,AL,ND,ND,ND,ND,ND,Balanceada,NO,NO,2016
1,6,Miércoles,Enero,Bloomberg,Agencia,Adam Williams,ND,Canada's Renaissance Oil Eyes Onshore Joint Venture With Pemex,Económico,ND,Industria petrolera,Implementación,Pemex,ND,ND,Renaissance,Craig Steinke,ND,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,Wall Street Journal,4,Amy Guthrie,ND,Mexican Peso Hits New Low Versus Dollar,Económico,ND,Peso,Coyuntura,Banxico,Corea del Norte,China,Win Thin,Brown Brothers Harriman,América Móvil,ND,ND,Negativa,NO,NO,2016
1,6,Miércoles,Enero,Univision,4,ND,ND,El dólar vuelve a tocar un máximo histórico con respecto al peso mexicano,Económico,ND,Peso,Coyuntura,Banxico,Corea del Norte,ND,Milenio,El Universal,El País,ND,ND,Negativa,NO,NO,2016
1,6,Miércoles,Enero,La Opinión,3,Gardenia Mendoza Aguilar,ND,¿Por qué no quieren el Mando Único de policía en México?,Seguridad,Político,Amenazas del Narco,Coyuntura,Graco Ramírez,Gisela Mota,Presidente Peña Nieto,ND,ND,ND,Morelos,ND,Negativa,NO,NO,2016
1,6,Miércoles,Enero,Dallas Morning News,3,ND,ND,Local real estate agent helps feds break up Dallas cell of violent new Mexican drug cartel,Seguridad,ND,Cooperación,Coyuntura,Dallas,Atlanta,ND,Cártel Jalisco Nueva Generación,Nicolás Salinas,Óscar Soto,ND,ND,Balanceada,NO,NO,2016
1,6,Miércoles,Enero,Huffington Post,3,ND,ND,Accountability and Human Rights Needed in U.S. Approach to Central America,Seguridad,ND,Cooperación,Coyuntura,Presidente Obama,CA,México,ND,ND,ND,ND,ND,Negativa,NO,NO,2016
1,6,Miércoles,Enero,La Opinión,3,Gardenia Mendoza Aguilar,ND,Cómo México le rompe el corazón a un ‘dreamer’,Político,Social/Turismo,Migración,Coyuntura,ND,ND,ND,Karen Ragazzo,Gutiérrez,ND,Varios,ND,Informativa,NO,NO,2016
1,6,Miércoles,Enero,New York Times,4,ND,ND,Mexican Soda Tax Followed by Drop in Sugary Drink Sales,Económico,Político,Reforma fiscal,Implementación,SSA,OCDE,ND,Universidad de Carolina del Norte,Juan Rivera,ND,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,TIME,4,ND,ND,"Mexico’s Sugary Drink Tax is Working, Study Suggests",Económico,Político,Reforma fiscal,Implementación,México,OCDE,Franco Sassi,Universidad de Carolina del Norte,ND,ND,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,CNN,4,ND,ND,Alleged drug lord 'La Barbie' pleads guilty to U.S. charges,Seguridad,ND,Cooperación,Coyuntura,PGR,DEA,ND,Édgar Valdez,Cártel de los Beltrán Leyva,El Chapo,ND,ND,Positiva,SÍ,NO,2016
1,6,Miércoles,Enero,Univision,4,ND,ND,"El chile, el picante y la cocina mexicana",Social/Turismo,ND,Cultura,Coyuntura,Conabio,ND,ND,Janet Long,Wilbur Scoville,ND,Varios,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,CNN,4,ND,ND,México celebra el día de Reyes con una rosca de 1.400 metros,Social/Turismo,ND,D.F.,Coyuntura,Miguel Ángel Mancera,ND,ND,ND,ND,ND,Distrito Federal,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,Fusion,2,ND,ND,Why Mexico is turning its biggest political scandals into movies,Seguridad,ND,Narcocultura,Crisis 2014,Presidente Peña Nieto,ND,ND,El Chapo,Alejandro González Iñárritu,Guillermo del Toro,ND,ND,Negativa,NO,NO,2016
1,7,Jueves,Enero,New York Times,4,ND,ND,52 Places to Go in 2016,Social/turismo,ND,Destinos,Coyuntura,Francisco,ND,ND,Enrique Olvera,Carla Fernández,ND,Distrito Federal,Baja California Sur,Positiva,NO,NO,2016
1,7,Jueves,Enero,Houston Chronicle,3,ND,ND,Affluenza Teen Seeks Asylum in Mexico,Seguridad,ND,Cooperación,Coyuntura,EUA,ND,ND,Ethan Couch,ND,ND,ND,ND,Informativa,NO,NO,2016
1,7,Jueves,Enero,Chicago Tribune,3,ND,ND,Constellation Brands doubling down on Mexican beer growth,Económico,ND,Empresas,Coyuntura,EUA,ND,ND,Constellation Brands,ND,ND,Baja California,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,New York Times,4,ND,ND,"Mexican Pork Chops, by Way of Brooklyn",Social/Turismo,ND,Cultura,Coyuntura,EUA,ND,ND,Diana Kennedy,Patricia Quintana,Alex Stupak,ND,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,Huffington Post,3,ND,ND,Pope Francis Asks If He'll Be Greeted With tequila In Mexico,Político,ND,Visita Papa,Coyuntura,Francisco,ND,ND,Carlos Alberto Cardona,ND,ND,ND,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,CNN en español,4,ND,ND,Presunto asesino serial arrestado en Méxic,Seguridad,ND,Delitos,Coyuntura,PGJ,ND,ND,Andrés Castillo,ND,ND,Chihuahua,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,Univision,4,ND,ND,Quién es el presunto descuartizador de Chihuahua capturado el miércoles,Seguridad,ND,Delitos,Coyuntura,PGJ,ND,ND,Andrés Castillo,Lorenzo Olivas,ND,Chihuahua,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,Univision,4,ND,ND,Detienen en México a presunto asesino en serie,Seguridad,ND,Delitos,Coyuntura,PGJ,ND,ND,Andrés Castillo,Lorenzo Olivas,Fernando Valles,Chihuahua,ND,Positiva,NO,NO,2016
1,7,Jueves,Enero,Christian Science Monitor,3,ND,ND,Obama's executive action on guns gets warm welcome in Mexico,Seguridad,ND,Tráfico de armas,Coyuntura,EUA,México,Presidente Obama,Maureen Meyer,WOLA,ND,ND,ND,Positiva,NO,NO,2016
